id	length	plddt	ptm	n_msa
AF-A0A3N9NUD7-F1	436	0.9268	0.7966	1
AF-M3C2E6-F1	57	0.5459	0.2192	1
AF-A0A0A2XK82-F1	295	0.9599	0.9722	1
AF-A0A433NVX7-F1	85	0.6958	0.5737	1
AF-A0A7Y0JSX0-F1	248	0.9683	0.9856	1
AF-A0A2E5LIN6-F1	153	0.9573	0.9773	1
AF-A0A448XAA6-F1	87	0.5712	0.2685	1
AF-A0A2N2ENS4-F1	172	0.9595	0.9736	1
AF-A0A7V7HS95-F1	333	0.9643	0.9660	1
AF-A0A2K6EMR9-F1	115	0.4385	0.1163	1
